id,product_name,product_category,product_vendor,product_manufacturing_date,product_expiry_date
23,Product_1753217401,Electronics,Vendor A,2025-07-22 15:50:01.254671+00:00,2025-11-19 15:50:01.254671+00:00
24,Product_1753217406,Grocery,Vendor B,2025-07-22 15:50:06.433490+00:00,2025-12-15 15:50:06.433490+00:00
25,Product_1753217411,Electronics,Vendor E,2025-07-22 15:50:11.438944+00:00,2025-12-28 15:50:11.438944+00:00
26,Product_1753217416,Clothing,Vendor B,2025-07-22 15:50:16.447358+00:00,2025-09-10 15:50:16.447358+00:00
27,Product_1753217421,Toys,Vendor C,2025-07-22 15:50:21.549106+00:00,2025-11-19 15:50:21.549106+00:00
28,Product_1753217426,Electronics,Vendor B,2025-07-22 15:50:26.555791+00:00,2026-06-14 15:50:26.555791+00:00
29,Product_1753217431,Electronics,Vendor D,2025-07-22 15:50:31.560355+00:00,2025-12-20 15:50:31.560355+00:00
30,Product_1753217436,Toys,Vendor B,2025-07-22 15:50:36.711642+00:00,2026-06-24 15:50:36.711642+00:00
31,Product_1753217441,Grocery,Vendor B,2025-07-22 15:50:41.717299+00:00,2025-12-01 15:50:41.717299+00:00
32,Product_1753217446,Electronics,Vendor B,2025-07-22 15:50:46.726880+00:00,2025-11-24 15:50:46.726880+00:00
33,Product_1753217452,Grocery,Vendor E,2025-07-22 15:50:52.786821+00:00,2026-06-30 15:50:52.786821+00:00
34,Product_1753217457,Electronics,Vendor B,2025-07-22 15:50:57.792975+00:00,2026-05-22 15:50:57.792975+00:00
35,Product_1753217462,Books,Vendor D,2025-07-22 15:51:02.800363+00:00,2026-06-12 15:51:02.800363+00:00
36,Product_1753217467,Toys,Vendor B,2025-07-22 15:51:07.829672+00:00,2025-09-26 15:51:07.829672+00:00
37,Product_1753217472,Toys,Vendor D,2025-07-22 15:51:12.856726+00:00,2025-10-24 15:51:12.856726+00:00
38,Product_1753217477,Grocery,Vendor D,2025-07-22 15:51:17.861207+00:00,2025-10-15 15:51:17.861207+00:00
39,Product_1753217482,Electronics,Vendor E,2025-07-22 15:51:22.866585+00:00,2025-11-07 15:51:22.866585+00:00
40,Product_1753217487,Clothing,Vendor E,2025-07-22 15:51:27.878279+00:00,2025-09-30 15:51:27.878279+00:00
41,Product_1753217492,Grocery,Vendor D,2025-07-22 15:51:32.884237+00:00,2026-02-08 15:51:32.884237+00:00
42,Product_1753217497,Toys,Vendor B,2025-07-22 15:51:37.934277+00:00,2025-08-24 15:51:37.934277+00:00
43,Product_1753217502,Clothing,Vendor E,2025-07-22 15:51:42.969004+00:00,2025-11-23 15:51:42.969004+00:00
44,Product_1753217508,Electronics,Vendor D,2025-07-22 15:51:48.000929+00:00,2026-06-30 15:51:48.000929+00:00
45,Product_1753217513,Electronics,Vendor D,2025-07-22 15:51:53.011668+00:00,2026-03-11 15:51:53.011668+00:00
46,Product_1753217518,Grocery,Vendor C,2025-07-22 15:51:58.020319+00:00,2025-09-05 15:51:58.020319+00:00
47,Product_1753217523,Grocery,Vendor A,2025-07-22 15:52:03.025449+00:00,2025-08-28 15:52:03.025449+00:00
48,Product_1753217528,Toys,Vendor B,2025-07-22 15:52:08.064637+00:00,2026-06-14 15:52:08.064637+00:00
49,Product_1753217533,Books,Vendor D,2025-07-22 15:52:13.254368+00:00,2026-04-04 15:52:13.254368+00:00
50,Product_1753217538,Toys,Vendor B,2025-07-22 15:52:18.259687+00:00,2025-10-02 15:52:18.259687+00:00
51,Product_1753217543,Toys,Vendor A,2025-07-22 15:52:23.391827+00:00,2026-06-22 15:52:23.391827+00:00
52,Product_1753217548,Toys,Vendor D,2025-07-22 15:52:28.454643+00:00,2026-01-14 15:52:28.454643+00:00
53,Product_1753217554,Books,Vendor B,2025-07-22 15:52:34.322424+00:00,2026-06-01 15:52:34.322424+00:00
54,Product_1753217559,Books,Vendor E,2025-07-22 15:52:39.473757+00:00,2026-05-04 15:52:39.473757+00:00
55,Product_1753217564,Electronics,Vendor C,2025-07-22 15:52:44.624043+00:00,2026-03-10 15:52:44.624043+00:00
56,Product_1753217569,Grocery,Vendor C,2025-07-22 15:52:49.634140+00:00,2025-12-28 15:52:49.634140+00:00
57,Product_1753217574,Grocery,Vendor A,2025-07-22 15:52:54.639952+00:00,2025-11-26 15:52:54.639952+00:00
58,Product_1753217579,Toys,Vendor A,2025-07-22 15:52:59.859169+00:00,2025-12-13 15:52:59.859169+00:00
59,Product_1753217584,Electronics,Vendor B,2025-07-22 15:53:04.863666+00:00,2026-06-19 15:53:04.863666+00:00
60,Product_1753217590,Grocery,Vendor E,2025-07-22 15:53:10.171840+00:00,2026-06-14 15:53:10.171840+00:00
61,Product_1753217595,Clothing,Vendor E,2025-07-22 15:53:15.972515+00:00,2026-01-02 15:53:15.972515+00:00
62,Product_1753217601,Electronics,Vendor D,2025-07-22 15:53:21.231611+00:00,2026-06-09 15:53:21.231611+00:00
63,Product_1753217606,Books,Vendor C,2025-07-22 15:53:26.237789+00:00,2026-05-15 15:53:26.237789+00:00
64,Product_1753217611,Books,Vendor A,2025-07-22 15:53:31.243285+00:00,2026-03-19 15:53:31.243285+00:00
65,Product_1753217616,Clothing,Vendor D,2025-07-22 15:53:36.326031+00:00,2025-12-05 15:53:36.326031+00:00
66,Product_1753217621,Books,Vendor E,2025-07-22 15:53:41.331969+00:00,2025-10-08 15:53:41.331969+00:00
67,Product_1753217626,Electronics,Vendor D,2025-07-22 15:53:46.377710+00:00,2026-03-28 15:53:46.377710+00:00
68,Product_1753217631,Clothing,Vendor B,2025-07-22 15:53:51.382752+00:00,2026-06-28 15:53:51.382752+00:00
69,Product_1753217636,Books,Vendor A,2025-07-22 15:53:56.498648+00:00,2026-05-26 15:53:56.498648+00:00
70,Product_1753217641,Books,Vendor E,2025-07-22 15:54:01.539503+00:00,2026-06-21 15:54:01.539503+00:00
71,Product_1753217646,Books,Vendor D,2025-07-22 15:54:06.545336+00:00,2025-09-18 15:54:06.545336+00:00
72,Product_1753217651,Toys,Vendor E,2025-07-22 15:54:11.668696+00:00,2026-07-05 15:54:11.668696+00:00
73,Product_1753217656,Grocery,Vendor C,2025-07-22 15:54:16.679759+00:00,2025-11-21 15:54:16.679759+00:00
74,Product_1753217661,Electronics,Vendor A,2025-07-22 15:54:21.689193+00:00,2026-02-16 15:54:21.689193+00:00
75,Product_1753217666,Grocery,Vendor E,2025-07-22 15:54:26.698631+00:00,2026-01-16 15:54:26.698631+00:00
76,Product_1753217671,Grocery,Vendor E,2025-07-22 15:54:31.708267+00:00,2026-01-29 15:54:31.708267+00:00
77,Product_1753217676,Books,Vendor A,2025-07-22 15:54:36.718651+00:00,2025-10-24 15:54:36.718651+00:00
78,Product_1753217681,Electronics,Vendor A,2025-07-22 15:54:41.727881+00:00,2026-02-10 15:54:41.727881+00:00
79,Product_1753217687,Books,Vendor E,2025-07-22 15:54:47.049108+00:00,2026-07-12 15:54:47.049108+00:00
80,Product_1753217692,Books,Vendor C,2025-07-22 15:54:52.059499+00:00,2026-02-27 15:54:52.059499+00:00
81,Product_1753217697,Toys,Vendor A,2025-07-22 15:54:57.064916+00:00,2026-06-07 15:54:57.064916+00:00
82,Product_1753217702,Toys,Vendor D,2025-07-22 15:55:02.104772+00:00,2026-06-12 15:55:02.104772+00:00
83,Product_1753217707,Toys,Vendor A,2025-07-22 15:55:07.116313+00:00,2026-01-08 15:55:07.116313+00:00
84,Product_1753217712,Electronics,Vendor B,2025-07-22 15:55:12.127793+00:00,2026-05-20 15:55:12.127793+00:00
85,Product_1753217717,Electronics,Vendor B,2025-07-22 15:55:17.139274+00:00,2026-05-02 15:55:17.139274+00:00
86,Product_1753217722,Grocery,Vendor A,2025-07-22 15:55:22.143660+00:00,2025-11-08 15:55:22.143660+00:00
87,Product_1753217727,Electronics,Vendor E,2025-07-22 15:55:27.148654+00:00,2026-07-04 15:55:27.148654+00:00
88,Product_1753217732,Electronics,Vendor D,2025-07-22 15:55:32.153262+00:00,2025-08-23 15:55:32.153262+00:00
89,Product_1753217737,Electronics,Vendor E,2025-07-22 15:55:37.163713+00:00,2026-05-16 15:55:37.163713+00:00
90,Product_1753217742,Books,Vendor C,2025-07-22 15:55:42.168872+00:00,2025-09-13 15:55:42.168872+00:00
91,Product_1753217747,Books,Vendor C,2025-07-22 15:55:47.179508+00:00,2025-12-10 15:55:47.179508+00:00
92,Product_1753217752,Grocery,Vendor E,2025-07-22 15:55:52.190209+00:00,2026-02-04 15:55:52.190209+00:00
93,Product_1753217757,Grocery,Vendor D,2025-07-22 15:55:57.195419+00:00,2026-03-22 15:55:57.195419+00:00
94,Product_1753217762,Toys,Vendor A,2025-07-22 15:56:02.207034+00:00,2025-10-17 15:56:02.207034+00:00
95,Product_1753217767,Clothing,Vendor E,2025-07-22 15:56:07.218173+00:00,2026-07-03 15:56:07.218173+00:00
96,Product_1753217772,Electronics,Vendor E,2025-07-22 15:56:12.229897+00:00,2026-05-30 15:56:12.229897+00:00
97,Product_1753217777,Books,Vendor D,2025-07-22 15:56:17.241093+00:00,2026-06-30 15:56:17.241093+00:00
98,Product_1753217782,Toys,Vendor C,2025-07-22 15:56:22.255659+00:00,2025-08-25 15:56:22.255659+00:00
99,Product_1753217787,Grocery,Vendor B,2025-07-22 15:56:27.267052+00:00,2025-12-31 15:56:27.267052+00:00
100,Product_1753217792,Toys,Vendor B,2025-07-22 15:56:32.276098+00:00,2026-02-28 15:56:32.276098+00:00
101,Product_1753217797,Grocery,Vendor A,2025-07-22 15:56:37.281616+00:00,2026-05-23 15:56:37.281616+00:00
102,Product_1753217805,Books,Vendor D,2025-07-22 15:56:45.399749+00:00,2026-02-15 15:56:45.399749+00:00
103,Product_1753217810,Clothing,Vendor A,2025-07-22 15:56:50.404039+00:00,2026-07-14 15:56:50.404039+00:00
104,Product_1753217815,Clothing,Vendor A,2025-07-22 15:56:55.412437+00:00,2026-05-20 15:56:55.412437+00:00
105,Product_1753217820,Books,Vendor E,2025-07-22 15:57:00.423692+00:00,2026-07-17 15:57:00.423692+00:00
106,Product_1753217825,Electronics,Vendor C,2025-07-22 15:57:05.435579+00:00,2026-01-01 15:57:05.435579+00:00
107,Product_1753217830,Toys,Vendor A,2025-07-22 15:57:10.446691+00:00,2026-01-03 15:57:10.446691+00:00
108,Product_1753217835,Toys,Vendor B,2025-07-22 15:57:15.458313+00:00,2025-12-02 15:57:15.458313+00:00
109,Product_1753217840,Books,Vendor A,2025-07-22 15:57:20.468191+00:00,2026-04-03 15:57:20.468191+00:00
110,Product_1753217845,Toys,Vendor D,2025-07-22 15:57:25.473367+00:00,2026-05-03 15:57:25.473367+00:00
111,Product_1753217850,Toys,Vendor D,2025-07-22 15:57:30.483002+00:00,2026-02-22 15:57:30.483002+00:00
112,Product_1753217855,Grocery,Vendor A,2025-07-22 15:57:35.488737+00:00,2026-07-12 15:57:35.488737+00:00
113,Product_1753217860,Clothing,Vendor D,2025-07-22 15:57:40.925400+00:00,2025-11-04 15:57:40.925400+00:00
114,Product_1753217865,Grocery,Vendor E,2025-07-22 15:57:45.930290+00:00,2026-05-31 15:57:45.930290+00:00
115,Product_1753217870,Toys,Vendor C,2025-07-22 15:57:50.942164+00:00,2026-06-10 15:57:50.942164+00:00
116,Product_1753217875,Grocery,Vendor E,2025-07-22 15:57:55.957075+00:00,2025-10-26 15:57:55.957075+00:00
117,Product_1753217880,Clothing,Vendor A,2025-07-22 15:58:00.966654+00:00,2026-05-07 15:58:00.966654+00:00
118,Product_1753217885,Books,Vendor C,2025-07-22 15:58:05.978011+00:00,2026-05-19 15:58:05.978011+00:00
119,Product_1753217890,Grocery,Vendor C,2025-07-22 15:58:10.987347+00:00,2025-09-15 15:58:10.987347+00:00
120,Product_1753217895,Electronics,Vendor E,2025-07-22 15:58:15.996022+00:00,2026-06-01 15:58:15.996022+00:00
121,Product_1753217901,Books,Vendor B,2025-07-22 15:58:21.007329+00:00,2025-12-21 15:58:21.007329+00:00
122,Product_1753217906,Electronics,Vendor A,2025-07-22 15:58:26.026125+00:00,2025-12-14 15:58:26.026125+00:00
123,Product_1753217911,Books,Vendor C,2025-07-22 15:58:31.031397+00:00,2026-04-09 15:58:31.031397+00:00
124,Product_1753217916,Toys,Vendor E,2025-07-22 15:58:36.036433+00:00,2025-09-16 15:58:36.036433+00:00
125,Product_1753217921,Toys,Vendor A,2025-07-22 15:58:41.046215+00:00,2025-09-10 15:58:41.046215+00:00
126,Product_1753217926,Grocery,Vendor B,2025-07-22 15:58:46.051327+00:00,2026-05-24 15:58:46.051327+00:00
127,Product_1753217931,Books,Vendor C,2025-07-22 15:58:51.068412+00:00,2025-10-19 15:58:51.068412+00:00
128,Product_1753217936,Electronics,Vendor D,2025-07-22 15:58:56.080422+00:00,2026-02-19 15:58:56.080422+00:00
129,Product_1753217941,Books,Vendor D,2025-07-22 15:59:01.090932+00:00,2025-09-21 15:59:01.090932+00:00
130,Product_1753217946,Toys,Vendor E,2025-07-22 15:59:06.101301+00:00,2025-11-18 15:59:06.101301+00:00
131,Product_1753217951,Toys,Vendor E,2025-07-22 15:59:11.111812+00:00,2026-05-21 15:59:11.111812+00:00
132,Product_1753217956,Clothing,Vendor D,2025-07-22 15:59:16.117447+00:00,2025-12-06 15:59:16.117447+00:00
133,Product_1753217961,Grocery,Vendor B,2025-07-22 15:59:21.128616+00:00,2025-12-02 15:59:21.128616+00:00
134,Product_1753217966,Books,Vendor B,2025-07-22 15:59:26.134811+00:00,2026-07-04 15:59:26.134811+00:00
135,Product_1753217971,Clothing,Vendor B,2025-07-22 15:59:31.149899+00:00,2026-04-03 15:59:31.149899+00:00
136,Product_1753217976,Toys,Vendor C,2025-07-22 15:59:36.155152+00:00,2025-11-14 15:59:36.155152+00:00
137,Product_1753217981,Electronics,Vendor B,2025-07-22 15:59:41.166580+00:00,2026-06-22 15:59:41.166580+00:00
138,Product_1753217986,Books,Vendor B,2025-07-22 15:59:46.176492+00:00,2025-08-22 15:59:46.176492+00:00
139,Product_1753217991,Clothing,Vendor D,2025-07-22 15:59:51.182728+00:00,2026-07-21 15:59:51.182728+00:00
140,Product_1753217996,Clothing,Vendor C,2025-07-22 15:59:56.187643+00:00,2026-04-10 15:59:56.187643+00:00
141,Product_1753218001,Clothing,Vendor C,2025-07-22 16:00:01.295812+00:00,2025-09-14 16:00:01.295812+00:00
142,Product_1753218006,Electronics,Vendor C,2025-07-22 16:00:06.304098+00:00,2026-06-17 16:00:06.304098+00:00
143,Product_1753218011,Grocery,Vendor B,2025-07-22 16:00:11.314886+00:00,2026-04-26 16:00:11.314886+00:00
144,Product_1753218016,Toys,Vendor C,2025-07-22 16:00:16.324112+00:00,2026-04-27 16:00:16.324112+00:00
145,Product_1753218021,Clothing,Vendor C,2025-07-22 16:00:21.335772+00:00,2026-03-30 16:00:21.335772+00:00
146,Product_1753218026,Grocery,Vendor D,2025-07-22 16:00:26.344861+00:00,2025-09-24 16:00:26.344861+00:00
147,Product_1753218031,Books,Vendor A,2025-07-22 16:00:31.358849+00:00,2026-04-08 16:00:31.358849+00:00
148,Product_1753218036,Books,Vendor D,2025-07-22 16:00:36.363534+00:00,2026-02-21 16:00:36.363534+00:00
149,Product_1753218041,Books,Vendor B,2025-07-22 16:00:41.375609+00:00,2026-01-22 16:00:41.375609+00:00
150,Product_1753218046,Clothing,Vendor D,2025-07-22 16:00:46.386963+00:00,2026-02-16 16:00:46.386963+00:00
151,Product_1753218051,Electronics,Vendor A,2025-07-22 16:00:51.392358+00:00,2026-06-05 16:00:51.392358+00:00
152,Product_1753218056,Books,Vendor A,2025-07-22 16:00:56.400580+00:00,2025-09-20 16:00:56.400580+00:00
153,Product_1753218061,Books,Vendor C,2025-07-22 16:01:01.405832+00:00,2025-12-31 16:01:01.405832+00:00
154,Product_1753218066,Grocery,Vendor C,2025-07-22 16:01:06.414057+00:00,2025-11-09 16:01:06.414057+00:00
155,Product_1753218071,Books,Vendor E,2025-07-22 16:01:11.425207+00:00,2026-02-08 16:01:11.425207+00:00
156,Product_1753218076,Toys,Vendor B,2025-07-22 16:01:16.436391+00:00,2026-01-05 16:01:16.436391+00:00
157,Product_1753218081,Books,Vendor C,2025-07-22 16:01:21.443847+00:00,2025-12-15 16:01:21.443847+00:00
158,Product_1753218086,Toys,Vendor D,2025-07-22 16:01:26.451829+00:00,2025-08-30 16:01:26.451829+00:00
159,Product_1753218091,Electronics,Vendor A,2025-07-22 16:01:31.456901+00:00,2026-07-15 16:01:31.456901+00:00
160,Product_1753218096,Books,Vendor E,2025-07-22 16:01:36.467736+00:00,2025-12-04 16:01:36.467736+00:00
161,Product_1753218101,Toys,Vendor A,2025-07-22 16:01:41.476841+00:00,2025-12-12 16:01:41.476841+00:00
162,Product_1753218106,Electronics,Vendor D,2025-07-22 16:01:46.486462+00:00,2025-10-19 16:01:46.486462+00:00
163,Product_1753218111,Clothing,Vendor D,2025-07-22 16:01:51.491544+00:00,2026-01-08 16:01:51.491544+00:00
164,Product_1753218116,Toys,Vendor E,2025-07-22 16:01:56.496812+00:00,2025-10-28 16:01:56.496812+00:00
165,Product_1753218121,Toys,Vendor A,2025-07-22 16:02:01.506249+00:00,2026-01-26 16:02:01.506249+00:00
166,Product_1753218126,Toys,Vendor E,2025-07-22 16:02:06.514782+00:00,2026-04-30 16:02:06.514782+00:00
167,Product_1753218131,Electronics,Vendor C,2025-07-22 16:02:11.526244+00:00,2026-04-22 16:02:11.526244+00:00
168,Product_1753218136,Grocery,Vendor D,2025-07-22 16:02:16.537352+00:00,2026-05-11 16:02:16.537352+00:00
169,Product_1753218141,Grocery,Vendor B,2025-07-22 16:02:21.543290+00:00,2026-03-21 16:02:21.543290+00:00
170,Product_1753218146,Electronics,Vendor A,2025-07-22 16:02:26.548658+00:00,2026-06-16 16:02:26.548658+00:00
171,Product_1753218151,Books,Vendor C,2025-07-22 16:02:31.554904+00:00,2025-10-08 16:02:31.554904+00:00
172,Product_1753218156,Grocery,Vendor D,2025-07-22 16:02:36.564844+00:00,2025-08-28 16:02:36.564844+00:00
173,Product_1753218161,Clothing,Vendor B,2025-07-22 16:02:41.574858+00:00,2025-11-30 16:02:41.574858+00:00
174,Product_1753218166,Toys,Vendor D,2025-07-22 16:02:46.583730+00:00,2026-05-30 16:02:46.583730+00:00
175,Product_1753218171,Toys,Vendor D,2025-07-22 16:02:51.590068+00:00,2026-06-05 16:02:51.590068+00:00
176,Product_1753218176,Clothing,Vendor A,2025-07-22 16:02:56.599606+00:00,2026-05-13 16:02:56.599606+00:00
177,Product_1753218181,Grocery,Vendor C,2025-07-22 16:03:01.611451+00:00,2026-01-22 16:03:01.611451+00:00
178,Product_1753218186,Toys,Vendor E,2025-07-22 16:03:06.621787+00:00,2026-03-31 16:03:06.621787+00:00
179,Product_1753218191,Clothing,Vendor D,2025-07-22 16:03:11.626518+00:00,2026-03-20 16:03:11.626518+00:00
180,Product_1753218196,Clothing,Vendor A,2025-07-22 16:03:16.636256+00:00,2026-07-02 16:03:16.636256+00:00
181,Product_1753218201,Electronics,Vendor C,2025-07-22 16:03:21.645342+00:00,2026-02-25 16:03:21.645342+00:00
182,Product_1753218206,Books,Vendor A,2025-07-22 16:03:26.654546+00:00,2025-11-22 16:03:26.654546+00:00
183,Product_1753218211,Electronics,Vendor B,2025-07-22 16:03:31.664641+00:00,2025-10-16 16:03:31.664641+00:00
184,Product_1753218216,Electronics,Vendor B,2025-07-22 16:03:36.673450+00:00,2025-12-20 16:03:36.673450+00:00
185,Product_1753218221,Grocery,Vendor C,2025-07-22 16:03:41.682970+00:00,2025-09-06 16:03:41.682970+00:00
186,Product_1753218226,Books,Vendor B,2025-07-22 16:03:46.692176+00:00,2025-11-11 16:03:46.692176+00:00
187,Product_1753218231,Clothing,Vendor D,2025-07-22 16:03:51.701757+00:00,2026-01-06 16:03:51.701757+00:00
188,Product_1753218236,Clothing,Vendor E,2025-07-22 16:03:56.707101+00:00,2025-12-14 16:03:56.707101+00:00
189,Product_1753218241,Books,Vendor B,2025-07-22 16:04:01.716845+00:00,2026-06-11 16:04:01.716845+00:00
190,Product_1753218246,Toys,Vendor B,2025-07-22 16:04:06.725338+00:00,2026-03-11 16:04:06.725338+00:00
191,Product_1753218251,Electronics,Vendor D,2025-07-22 16:04:11.730162+00:00,2026-05-24 16:04:11.730162+00:00
192,Product_1753218256,Electronics,Vendor E,2025-07-22 16:04:16.741288+00:00,2026-06-29 16:04:16.741288+00:00
193,Product_1753218261,Toys,Vendor E,2025-07-22 16:04:21.751206+00:00,2025-09-13 16:04:21.751206+00:00
194,Product_1753218266,Books,Vendor E,2025-07-22 16:04:26.762354+00:00,2026-01-24 16:04:26.762354+00:00
195,Product_1753218271,Books,Vendor C,2025-07-22 16:04:31.774044+00:00,2026-02-15 16:04:31.774044+00:00
196,Product_1753218276,Toys,Vendor D,2025-07-22 16:04:36.784616+00:00,2025-08-26 16:04:36.784616+00:00
197,Product_1753218281,Toys,Vendor E,2025-07-22 16:04:41.788936+00:00,2025-09-19 16:04:41.788936+00:00
198,Product_1753218286,Clothing,Vendor E,2025-07-22 16:04:46.800608+00:00,2026-02-22 16:04:46.800608+00:00
199,Product_1753218291,Books,Vendor E,2025-07-22 16:04:51.810380+00:00,2025-10-31 16:04:51.810380+00:00
200,Product_1753218296,Books,Vendor E,2025-07-22 16:04:56.828420+00:00,2025-10-31 16:04:56.828420+00:00
201,Product_1753218301,Toys,Vendor D,2025-07-22 16:05:01.839901+00:00,2025-12-15 16:05:01.839901+00:00
202,Product_1753218306,Grocery,Vendor E,2025-07-22 16:05:06.848595+00:00,2026-05-18 16:05:06.848595+00:00
203,Product_1753218311,Books,Vendor B,2025-07-22 16:05:11.862250+00:00,2025-10-16 16:05:11.862250+00:00
204,Product_1753218316,Toys,Vendor E,2025-07-22 16:05:16.873869+00:00,2025-09-16 16:05:16.873869+00:00
205,Product_1753218321,Toys,Vendor E,2025-07-22 16:05:21.884172+00:00,2026-02-11 16:05:21.884172+00:00
206,Product_1753218326,Grocery,Vendor C,2025-07-22 16:05:26.893187+00:00,2025-10-22 16:05:26.893187+00:00
207,Product_1753218331,Clothing,Vendor B,2025-07-22 16:05:31.904719+00:00,2026-07-08 16:05:31.904719+00:00
208,Product_1753218336,Electronics,Vendor B,2025-07-22 16:05:36.909715+00:00,2026-02-07 16:05:36.909715+00:00
209,Product_1753218341,Grocery,Vendor D,2025-07-22 16:05:41.914495+00:00,2026-04-19 16:05:41.914495+00:00
210,Product_1753218346,Toys,Vendor B,2025-07-22 16:05:46.931221+00:00,2025-09-22 16:05:46.931221+00:00
211,Product_1753218351,Clothing,Vendor D,2025-07-22 16:05:51.935563+00:00,2026-07-10 16:05:51.935563+00:00
212,Product_1753218356,Clothing,Vendor D,2025-07-22 16:05:56.941038+00:00,2025-12-16 16:05:56.941038+00:00
213,Product_1753218361,Books,Vendor C,2025-07-22 16:06:01.966300+00:00,2026-01-04 16:06:01.966300+00:00
214,Product_1753218366,Books,Vendor B,2025-07-22 16:06:06.971326+00:00,2026-04-17 16:06:06.971326+00:00
215,Product_1753218371,Grocery,Vendor D,2025-07-22 16:06:11.976479+00:00,2025-09-14 16:06:11.976479+00:00
216,Product_1753218376,Books,Vendor B,2025-07-22 16:06:16.987700+00:00,2026-02-09 16:06:16.987700+00:00
217,Product_1753218381,Grocery,Vendor A,2025-07-22 16:06:21.993337+00:00,2026-02-16 16:06:21.993337+00:00
218,Product_1753218386,Electronics,Vendor E,2025-07-22 16:06:26.999260+00:00,2025-12-12 16:06:26.999260+00:00
219,Product_1753218392,Electronics,Vendor C,2025-07-22 16:06:32.009695+00:00,2026-06-06 16:06:32.009695+00:00
220,Product_1753218397,Electronics,Vendor E,2025-07-22 16:06:37.018319+00:00,2026-04-24 16:06:37.018319+00:00
221,Product_1753218402,Grocery,Vendor D,2025-07-22 16:06:42.027084+00:00,2026-05-07 16:06:42.027084+00:00
222,Product_1753218407,Clothing,Vendor C,2025-07-22 16:06:47.044441+00:00,2025-12-26 16:06:47.044441+00:00
223,Product_1753218412,Clothing,Vendor C,2025-07-22 16:06:52.049724+00:00,2026-04-07 16:06:52.049724+00:00
224,Product_1753218417,Electronics,Vendor E,2025-07-22 16:06:57.059109+00:00,2025-09-24 16:06:57.059109+00:00
225,Product_1753218422,Clothing,Vendor D,2025-07-22 16:07:02.064498+00:00,2026-03-11 16:07:02.064498+00:00
226,Product_1753218427,Grocery,Vendor B,2025-07-22 16:07:07.072880+00:00,2025-09-09 16:07:07.072880+00:00
227,Product_1753218432,Books,Vendor E,2025-07-22 16:07:12.081698+00:00,2025-11-01 16:07:12.081698+00:00
228,Product_1753218437,Grocery,Vendor C,2025-07-22 16:07:17.087286+00:00,2026-02-12 16:07:17.087286+00:00
229,Product_1753218442,Clothing,Vendor B,2025-07-22 16:07:22.098160+00:00,2025-09-01 16:07:22.098160+00:00
230,Product_1753218447,Toys,Vendor E,2025-07-22 16:07:27.103846+00:00,2026-05-30 16:07:27.103846+00:00
231,Product_1753218452,Clothing,Vendor E,2025-07-22 16:07:32.108743+00:00,2025-10-02 16:07:32.108743+00:00
232,Product_1753218457,Clothing,Vendor E,2025-07-22 16:07:37.120178+00:00,2025-10-15 16:07:37.120178+00:00
